Country ISO3,Country Name,Indicator Id,Indicator,Subindicator Type,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
ABW,Aruba,2783,General government primary net lending/borrowing,% of GDP,,,,,,,,,,,,,,,,0.339,-1.1,-0.851,1.446,1.539,1.884,0.547,-1.776,3.178,-6.479,-0.97,-0.345,1.213,4.359,-0.085,-0.614,-3.639,-5.923,-2.834,-3.905,2.532,2.959,1.647,1.23,2.441,2.453,2.467,2.48,2.493
ABW,Aruba,2787,General government gross debt,% of GDP,,,,,,,,,,,,,,,,55.095,54.771,51.068,41.039,39.288,38.613,43.776,47.582,41.309,43.05,45.654,46.37,45.62,41.743,49.856,56.104,63.887,67.62,74.045,81.586,81.326,84.677,86.042,86.645,85.924,85.305,84.403,83.584,83.046
ABW,Aruba,3092,"Inflation, average consumer prices",Percent change,,,,,,,,,,,,,,,,,3.2,2.996,1.875,2.277,4.049,2.89,3.3,3.656,2.529,3.396,3.61,6,8.957,-2.134,2.075,4.375,0.6,-2.372,0.408,0.481,-0.888,-0.485,1.048,1.529,1.7,1.94,2.065,2.143
ABW,Aruba,3296,Unemployment rate (% of total labor force) (WEO),%,,,,,,,,,,,,,,,,,,,,,,6.489,8.131,11.4,9.5,8.8,9.3,7.1,6.9,11.3,10.6,8.9,9.6,7.6,7.5,7.3,7.7,,,,,,,
AFG,Afghanistan,345,Total investment (% of GDP),% of GDP,,,,,,,,,,,,,,,,,,,,,,,27.243,30.103,35.354,37.051,29.492,55.856,30.226,36.507,30.269,26.407,25.34,23.093,17.46,18.481,18.533,17.726,17.26,17.715,18.186,19.077,19.291,19.878
AFG,Afghanistan,346,Gross national savings (% of GDP),% of GDP,,,,,,,,,,,,,,,,,,,,,,,61.151,59.719,72.57,67.277,50.337,119.246,63.994,78.094,59.698,52.981,36.204,23.373,23.243,21.35,25.786,22.737,22.407,18.543,17.59,16.705,14.075,14.632
AFG,Afghanistan,347,"Inflation, average consumer prices",Index,,,,,,,,,,,,,,,,,,,,,,,31.263,42.413,49.351,54.566,58.269,63.327,80.057,74.604,76.229,85.227,90.717,97.417,101.97,101.296,105.736,110.998,114.328,118.901,124.891,131.135,137.692,144.576
AFG,Afghanistan,352,Population (WEO),Value,,,,,,,,,,,,,,,,,,,,,,,22203000,23116000,24019000,24861000,25631000,26617000,27294000,28004000,28803000,29709000,30697000,31732000,32758000,33736000,34656000,35530000,36020000,36510000,37000000,37514000,38028000,38543000
AFG,Afghanistan,354,General government total expenditure,National Currency,,,,,,,,,,,,,,,,,,,,,,,12411000000,26242000000,37101000000,47868000000,63294000000,91817000000,108251000000,128548000000,148052000000,183439000000,258689000000,278950000000,300521000000,318255000000,342771000000,356482000000,400749000000,410209000000,471698000000,535946000000,610927000000,690108000000
AFG,Afghanistan,355,General government net lending/borrowing,National Currency,,,,,,,,,,,,,,,,,,,,,,,-176000000,-4624000000,-5891000000,-2941000000,2225000000,-10654000000,-20090000000,-10803000000,6560000000,-5618000000,1882000000,-7047000000,-20334000000,-16898000000,1556000000,-8653000000,-7284000000,2261000000,-2055000000,-1889000000,-2528000000,1924000000
AFG,Afghanistan,357,General government primary net lending/borrowing,National Currency,,,,,,,,,,,,,,,,,,,,,,,,,-5891000000,-2797000000,2364000000,-10524000000,-19994000000,-10691000000,6643000000,-4794000000,2660000000,-6075000000,-19935000000,-16270000000,2350000000,-7767000000,-6661000000,2798000000,-1596000000,-617000000,-1068000000,3742000000
AFG,Afghanistan,359,General government gross debt,National Currency,,,,,,,,,,,,,,,,,,,,,,,618456000000,595360000000,603134000000,629234000000,79485000000,86083000000,98622000000,98658000000,54873000000,62822000000,69968000000,77222000000,102928000000,112028000000,103151000000,96478000000,98733000000,98957000000,118033000000,128984000000,143352000000,153771000000
AFG,Afghanistan,360,Gross domestic product corresponding to fiscal year,National Currency,,,,,,,,,,,,,,,,,,,,,,,178756000000,220013000000,246210000000,304926000000,345817000000,427495000000,517509000000,607227000000,711759000000,836222000000,1033591000000,1116827000000,1183039000000,1226570000000,1318478000000,1377535000000,1451582000000,1555417000000,1691368000000,1847387000000,2027433000000,2235552000000
AFG,Afghanistan,362,Volume of imports (% change),Percent change,,,,,,,,,,,,,,,,,,,,,,,,34.585,0.844,56.662,-1.924,-9.622,-8.186,28.513,34.258,12.349,30.697,5.193,-15.9,15.573,-8.134,3.635,3.447,5.483,5.876,4.278,-0.786,0.467
AFG,Afghanistan,363,Volume of exports (% change),Percent change,,,,,,,,,,,,,,,,,,,,,,,,48.778,-9.071,45.648,-7.403,-11.787,-6.5,29.976,12.521,0.286,-22.443,-38.141,51.885,-11.078,-16.439,0.322,-2.948,2.719,10.824,12.527,8.04,9.423
AFG,Afghanistan,2777,General government total expenditure,% of GDP,,,,,,,,,,,,,,,,,,,,,,,6.943,11.927,15.069,15.698,18.303,21.478,20.918,21.17,20.801,21.937,25.028,24.977,25.402,25.947,25.997,25.878,27.608,26.373,27.889,29.011,30.133,30.87
AFG,Afghanistan,2779,General government net lending/borrowing,% of GDP,,,,,,,,,,,,,,,,,,,,,,,-0.098,-2.102,-2.393,-0.965,0.643,-2.492,-3.882,-1.779,0.922,-0.672,0.182,-0.631,-1.719,-1.378,0.118,-0.628,-0.502,0.145,-0.122,-0.102,-0.125,0.086
AFG,Afghanistan,2783,General government primary net lending/borrowing,% of GDP,,,,,,,,,,,,,,,,,,,,,,,,,-2.393,-0.917,0.684,-2.462,-3.864,-1.761,0.933,-0.573,0.257,-0.544,-1.685,-1.326,0.178,-0.564,-0.459,0.18,-0.094,-0.033,-0.053,0.167
AFG,Afghanistan,2787,General government gross debt,% of GDP,,,,,,,,,,,,,,,,,,,,,,,345.977,270.602,244.967,206.356,22.985,20.137,19.057,16.247,7.709,7.513,6.769,6.914,8.7,9.133,7.823,7.004,6.802,6.362,6.979,6.982,7.071,6.878
AFG,Afghanistan,3092,"Inflation, average consumer prices",Percent change,,,,,,,,,,,,,,,,,,,,,,,,35.663,16.358,10.569,6.785,8.681,26.419,-6.811,2.179,11.804,6.441,7.386,4.674,-0.662,4.384,4.976,3,4,5.038,5,5,5
AGO,Angola,345,Total investment (% of GDP),% of GDP,40.096,43.491,49.34,40.953,40.841,31.26,31.383,31.12,24.247,24.12,13.873,30.887,53.009,54.387,52.87,57.423,78.017,57.265,79.145,64.748,30.493,30.493,30.493,30.451,30.894,27.557,23.301,25.731,30.804,42.821,28.197,26.424,26.668,26.143,27.5,34.202,27.215,29.575,26.405,26.089,27.011,27.78,28.41,28.975
AGO,Angola,346,Gross national savings (% of GDP),% of GDP,16.195,13.817,11.36,10.486,13.206,10.783,4.949,12.944,2.452,8.314,5.054,10.405,13.618,13.207,14.758,12.567,24.73,11.413,5.21,0.08,37.618,17.401,27.422,26.017,33.543,41.158,43.429,39.743,37.691,26.329,34.833,37.876,37.228,32.007,29.807,28.491,24.487,28.583,24.256,24.224,26.655,27.613,27.722,28.284
AGO,Angola,347,"Inflation, average consumer prices",Index,,,,,,,,,,,,,,,,0.001,0.027,0.088,0.183,0.637,2.707,6.838,14.284,28.313,40.637,49.968,56.616,63.551,71.472,81.278,93.047,105.594,116.454,126.681,135.927,148.377,193.92,251.795,303.315,351.133,389.389,424.036,455.632,485.029
AGO,Angola,352,Population (WEO),Value,8910000,9151000,9393000,9639000,9894000,11149000,11467000,11760000,12079000,12410000,12742000,13124000,13518000,13923000,14341000,14771000,15214000,15671000,16141000,16625000,17124000,17637000,18166000,18711000,19273000,19851000,20446000,21060000,21692000,22342000,23013000,23703000,24414000,25147000,25901000,26681000,27503000,28328000,29178000,30053000,30955000,31884000,32840000,33825000
AGO,Angola,354,General government total expenditure,National Currency,,,,,,,,,,,,,,,,,339000000,754000000,1073000000,10873000000,45484000000,82661000000,207753000000,457154000000,586399000000,854785000000,1288353000000,1908842000000,3498789000000,2510197000000,3034026000000,3927547000000,4548766000000,4888694000000,5222016000000,3773708000000,3648044000000,4822120000000,5513806000000,6814471000000,7915652000000,8552518000000,9372466000000,10201732000000
AGO,Angola,355,General government net lending/borrowing,National Currency,,,,,,,,,,,,,,,,,60000000,-7000000,-210000000,-2236000000,2567000000,7658000000,-16917000000,-62256000000,23287000000,231059000000,396677000000,215870000000,-281356000000,-440464000000,261463000000,848602000000,505037000000,-40085000000,-819375000000,-406964000000,-748074000000,-1279131000000,-239240000000,-68783000000,-202754000000,-377738000000,-646651000000,-944263000000
AGO,Angola,356,General government structural balance,National Currency,,,,,,,,,,,,,,,,,,,,,69490000000,92971000000,45611000000,-34698000000,35273000000,98931000000,170324000000,-6666000000,-216924000000,-231841000000,230236000000,379332000000,68250000000,-169100000000,-680628000000,193585000000,-251347000000,-895284000000,-224133000000,-331150000000,-449348000000,-514136000000,-732811000000,-1001320000000
AGO,Angola,357,General government primary net lending/borrowing,National Currency,,,,,,,,,,,,,,,,,153000000,117000000,7000000,-684000000,7540000000,17478000000,-1385000000,-43252000000,61076000000,279643000000,450016000000,269528000000,-158700000000,-337328000000,350999000000,943251000000,610322000000,59020000000,-669879000000,-158494000000,-277674000000,-601776000000,849595000000,1538991000000,1627348000000,1431643000000,1326186000000,1226326000000
AGO,Angola,359,General government gross debt,National Currency,,,,,,,,,,,,,,,,,,,,,150141000000,273646000000,490630000000,770358000000,938867000000,1078329000000,788437000000,1053508000000,2084567000000,3140168000000,2862152000000,3103838000000,3262908000000,4374025000000,5702308000000,7964643000000,12453983000000,13639850000000,22710993000000,24845446000000,27045183000000,29050297000000,30801256000000,32643649000000
AGO,Angola,360,Gross domestic product corresponding to fiscal year,National Currency,,,,,,,,,,,,,,,1000000,17000000,1022000000,2143000000,3126000000,21002000000,112118000000,241088000000,665385000000,1328940000000,1967571000000,3222352000000,4209762000000,5006335000000,6643353000000,5577341000000,7701651000000,10500942000000,12224950000000,13195004000000,14323859000000,13950291000000,16549565000000,20989315000000,28204007000000,34617578000000,39132359000000,43123691000000,47432972000000,51867858000000
AGO,Angola,362,Volume of imports (% change),Percent change,-39,17.3,1.7,-2.7,2.2,-9.4,-6.5,-1.5,26.9,-22,-15.8,-3.886,21.141,-19.125,-26.769,27.968,27.764,8.432,-5.44,26.806,3.965,13.854,-6.072,13.358,9.402,37.502,0.873,48.378,45.714,5.856,-21.279,10.299,8.38,9.235,11.442,-21.818,-25.274,0.322,21.672,-0.999,-6.064,-4.485,4.849,-1.53
AGO,Angola,363,Volume of exports (% change),Percent change,-3,8,-12.9,4.6,12.5,-5.9,-33.8,54.3,7,2.7,14.6,0.186,8.359,-8.275,8.236,12.24,10.698,6.02,2.536,1.426,1.624,-2.578,23.562,-1.931,13.537,28.148,14.255,17.501,10.105,-2.64,-3.266,-5.404,3.838,0.064,-2.115,6.721,-0.606,-4.759,1.331,0.34,0.643,0.419,1.035,0.422
AGO,Angola,2777,General government total expenditure,% of GDP,,,,,,,,,,,,,,,,,33.197,35.186,34.339,51.772,40.568,34.287,31.223,34.4,29.803,26.527,30.604,38.129,52.666,45.007,39.394,37.402,37.209,37.05,36.457,27.051,22.043,22.974,19.55,19.685,20.228,19.833,19.759,19.669
AGO,Angola,2779,General government net lending/borrowing,% of GDP,,,,,,,,,,,,,,,,,5.907,-0.304,-6.709,-10.645,2.289,3.176,-2.542,-4.685,1.184,7.17,9.423,4.312,-4.235,-7.897,3.395,8.081,4.131,-0.304,-5.72,-2.917,-4.52,-6.094,-0.848,-0.199,-0.518,-0.876,-1.363,-1.821
AGO,Angola,2781,General government structural balance,% of GDP,,,,,,,,,,,,,,,,,,,,,,,63.088,-3.836,2.024,3.81,4.895,-0.151,-4.008,-3.555,2.96,4.114,0.627,-1.32,-4.52,1.094,-1.209,-3.679,-0.791,-1.012,-1.201,-1.212,-1.536,-1.882
AGO,Angola,2783,General government primary net lending/borrowing,% of GDP,,,,,,,,,,,,,,,,,15.015,5.448,0.227,-3.257,6.725,7.25,-0.208,-3.255,3.104,8.678,10.69,5.384,-2.389,-6.048,4.557,8.983,4.992,0.447,-4.677,-1.136,-1.678,-2.867,3.012,4.446,4.159,3.32,2.796,2.364
AGO,Angola,2787,General government gross debt,% of GDP,,,,,,,,,,,,,,,,,,,,,133.914,113.505,73.736,57.968,47.717,33.464,18.729,21.043,31.378,56.302,37.163,29.558,26.691,33.149,39.81,57.093,75.253,64.985,80.524,71.771,69.112,67.365,64.936,62.936
AGO,Angola,3092,"Inflation, average consumer prices",Percent change,46.708,1.391,1.833,1.833,1.833,1.833,1.833,1.833,1.833,1.833,1.833,85.265,299.097,1379.476,949.771,2672.23,4146.01,221.492,107.429,248.248,325.029,152.586,108.893,98.219,43.525,22.961,13.305,12.249,12.465,13.721,14.48,13.484,10.285,8.782,7.298,9.159,30.694,29.844,20.461,15.765,10.895,8.898,7.451,6.452
ALB,Albania,345,Total investment (% of GDP),% of GDP,4.85,44.377,47.592,50.658,52.943,46.186,44.293,46.325,45.102,44.823,49.84,9.509,7.438,18.881,25.603,25.746,18.064,16.659,19.743,19.735,30.796,34.989,35.264,33.897,34.197,36.87,35.698,34.462,33.374,32.641,31.318,33.462,29.824,26.986,26.743,25.461,24.277,22.8,21.694,21.711,22.124,22.863,23.493,23.906
ALB,Albania,346,Gross national savings (% of GDP),% of GDP,27.121,39.852,41.023,44.479,46.845,40.83,40.314,42.435,40.026,38.061,41.016,-8.026,9.426,23.388,21.832,21.481,16.07,10.2,16.235,17.803,23.768,28.703,25.056,26.156,28.359,27.784,29.59,23.837,17.569,16.654,20.023,20.254,19.674,17.735,15.95,16.871,16.715,15.854,14.598,15.098,15.763,16.543,17.342,17.696
ALB,Albania,347,"Inflation, average consumer prices",Index,,,,,,,,,,3.391,3.385,4.594,14.976,27.706,33.958,36.605,41.266,54.953,66.298,66.556,66.582,68.66,72.231,73.938,76.058,77.855,79.7,82.059,84.775,86.667,89.8,92.892,94.783,96.608,98.167,100.042,101.317,103.33,105.7,108.708,111.933,115.291,118.749,122.312
ALB,Albania,352,Population (WEO),Value,2762000,2817000,2877000,2935000,2996000,3059000,3120000,3182000,3246000,3309000,3306000,3248000,3217000,3201000,3137000,3141000,3168000,3148000,3129000,3109000,3089000,3060000,3051000,3040000,3027000,3011000,2993000,2970000,2947000,2928000,2913000,2905000,2900000,2895000,2889000,2881000,2876000,2876000,2874000,2870000,2865000,2861000,2856000,2851000
ALB,Albania,354,General government total expenditure,National Currency,,,,,,,,,,,,,,,,,,100391000000,141437000000,164607000000,169596000000,184163000000,192517000000,201152000000,222439000000,232339000000,254762000000,282987000000,342860000000,373832000000,364290000000,376183000000,376241000000,394117000000,442717000000,435698000000,429073000000,451989000000,494841000000,518749000000,550204000000,581480000000,619699000000,652564000000
ALB,Albania,355,General government net lending/borrowing,National Currency,,,,,,,,,,,,,,,,,,-39434000000,-38198000000,-39220000000,-38954000000,-38524000000,-37922000000,-33928000000,-38083000000,-27806000000,-28479000000,-30695000000,-52782000000,-75345000000,-43637000000,-45734000000,-45857000000,-70408000000,-76148000000,-58153000000,-25941000000,-21592000000,-37027000000,-37113000000,-38363000000,-39994000000,-46904000000,-45812000000
ALB,Albania,357,General government primary net lending/borrowing,National Currency,,,,,,,,,,,,,,,,,,-21284000000,-3320000000,-5006000000,-9381000000,-14904000000,-13159000000,-4105000000,-9660000000,-1777000000,-3474000000,-5166000000,-21476000000,-39044000000,-2033000000,-4611000000,-4359000000,-27073000000,-36073000000,-19510000000,10318000000,10312000000,-984000000,1306000000,4326000000,2715000000,1185000000,4342000000
ALB,Albania,358,General government net debt,National Currency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,756420000000,807380000000,921361000000,914430000000,986827000000,1003785000000,1024710000000,1050957000000,1090608000000,1120883000000,1152235000000,1190987000000,1232334000000
ALB,Albania,359,General government gross debt,National Currency,,,,,,,,,,,,,,,,,,239197000000,273949000000,302454000000,319608000000,341522000000,391308000000,408300000000,423962000000,468050000000,494737000000,517043000000,595883000000,682547000000,715517000000,772735000000,828268000000,950316000000,1004512000000,1057318000000,1079687000000,1114758000000,1174748000000,1205661000000,1229939000000,1259074000000,1305442000000,1354919000000
ALB,Albania,360,Gross domestic product corresponding to fiscal year,National Currency,18489000000,19126000000,19698000000,19900000000,19645000000,20065000000,20692000000,20531000000,20238000000,22228000000,20006000000,19519000000,63341000000,149142000000,223571000000,267424000000,334359000000,331324000000,384848000000,443594000000,501199000000,563449000000,610494000000,677738000000,737656000000,804163000000,872735000000,965528000000,1080676000000,1143936000000,1239645000000,1300624000000,1332811000000,1350053000000,1395305000000,1434307000000,1475251000000,1552983000000,1653508000000,1754362000000,1869289000000,2001486000000,2142830000000,2293746000000
ALB,Albania,362,Volume of imports (% change),Percent change,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,-9.901,28.907,38.743,-3.432,23.272,11.868,8.409,10.704,8.434,4.98,19.576,10.804,-2.157,-8.027,3.212,-7.626,-8.653,5.558,-0.085,8.156,6.068,6.592,3.252,4.299,5.336,4.903,5.248
ALB,Albania,363,Volume of exports (% change),Percent change,0,0,0,0,0,0,0,0,,,0,0,,0,0,0,,-19.051,24.363,88.951,16.254,23.9,3.878,9.51,20.63,6.026,12.566,17.332,15.023,0.865,10.629,1.7,-2.288,-9.93,3.238,5.005,10.283,10.205,4.628,6.469,5.135,4.883,4.697,4.811
ALB,Albania,2777,General government total expenditure,% of GDP,,,,,,,,,,,,,,,,,,30.3,36.751,37.108,33.838,32.685,31.535,29.68,30.155,28.892,29.191,29.309,31.726,32.679,29.387,28.923,28.229,29.193,31.729,30.377,29.085,29.105,29.927,29.569,29.434,29.052,28.92,28.45
ALB,Albania,2779,General government net lending/borrowing,% of GDP,,,,,,,,,,,,,,,,,,-11.902,-9.926,-8.841,-7.772,-6.837,-6.212,-5.006,-5.163,-3.458,-3.263,-3.179,-4.884,-6.586,-3.52,-3.516,-3.441,-5.215,-5.457,-4.054,-1.758,-1.39,-2.239,-2.115,-2.052,-1.998,-2.189,-1.997
ALB,Albania,2783,General government primary net lending/borrowing,% of GDP,,,,,,,,,,,,,,,,,,-6.424,-0.863,-1.129,-1.872,-2.645,-2.155,-0.606,-1.31,-0.221,-0.398,-0.535,-1.987,-3.413,-0.164,-0.355,-0.327,-2.005,-2.585,-1.36,0.699,0.664,-0.06,0.074,0.231,0.136,0.055,0.189
ALB,Albania,2785,General government net debt,% of GDP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.158,60.577,68.246,65.536,68.802,68.042,65.983,63.559,62.166,59.963,57.569,55.58,53.726
ALB,Albania,2787,General government gross debt,% of GDP,,,,,,,,,,,,,,,,,,72.194,71.184,68.183,63.769,60.613,64.097,60.245,57.474,58.203,56.688,53.55,55.14,59.666,57.72,59.413,62.144,70.391,71.992,73.716,73.187,71.782,71.046,68.724,65.797,62.907,60.921,59.07
ALB,Albania,3092,"Inflation, average consumer prices",Percent change,,,,,,,,,,,-0.18,35.717,225.996,85.005,22.565,7.794,12.734,33.167,20.646,0.389,0.039,3.12,5.202,2.363,2.867,2.363,2.37,2.96,3.31,2.231,3.615,3.443,2.036,1.925,1.613,1.91,1.275,1.987,2.293,2.846,2.966,3,3,3
ALB,Albania,3296,Unemployment rate (% of total labor force) (WEO),%,5.028,4.224,2.813,3.335,4.41,5.853,5.43,5.164,6.033,6.721,8.457,8.9,26.5,22.3,18.4,12.9,12.3,14.9,17.7,18.4,16.8,16.44,15.751,15,14.4,14.1,13.8,13.4,13.1,13.8,14,14,13.4,16,17.5,17.1,15.2,13.756,13.506,13.256,13.006,12.756,12.506,12.256
ARE,United Arab Emirates,345,Total investment (% of GDP),% of GDP,28.419,26.277,28.75,31.401,28.978,24.97,30.151,24.038,25.644,23.602,19.852,23.246,25.415,23.59,27.724,28.062,23.908,24.166,24.326,23.427,22.608,22.502,22.546,22.13,19.978,20.167,19.271,25.199,25.098,31.633,27.082,23.358,22.019,19.8,21.792,25.764,27.143,21.59,22.499,23.296,22.951,22.747,22.491,22.149
ARE,United Arab Emirates,346,Gross national savings (% of GDP),% of GDP,45.757,43.159,37.663,36.592,40.707,36.735,30.037,29.037,26.498,27.605,36.031,25.972,29.77,29.29,27.774,28.231,30.038,35.573,28.372,29.997,38.772,31.575,25.863,27.914,26.41,33.337,36.594,33.05,32.16,34.729,31.258,36.003,41.767,38.802,35.308,30.666,30.85,28.508,29.709,30.764,28.645,27.5,26.82,26.322
ARE,United Arab Emirates,347,"Inflation, average consumer prices",Index,66.7,72,77.1,78.1,80,82.8,87.3,92.1,96.7,99.4,100,103.4,110,115.8,122.4,127.7,131.5,135.4,138.1,141,142.9,146.901,151.188,155.904,163.763,173.909,190.057,211.206,237.124,240.828,242.942,245.074,246.697,249.413,255.265,265.654,269.951,275.261,284.963,290.503,296.938,303.154,308.802,314.668
ARE,United Arab Emirates,352,Population (WEO),Value,1010000,1100000,1170000,1210000,1310000,1380000,1440000,1500000,1790000,1860000,1844000,1928000,2011000,2083000,2230000,2411000,2443000,2580000,2834000,3033000,2995000,3167000,3349000,3551000,3761000,4106000,5012000,6219000,8074000,8200000,8264000,8512000,8768000,9031000,9302000,9581000,9856000,10139000,10430000,10749000,11077000,11416000,11765000,12125000
ARE,United Arab Emirates,354,General government total expenditure,National Currency,,,,,,,,,,,,65087000000,56384000000,60281000000,63478000000,60879000000,73825000000,63915000000,71470000000,75276000000,82407000000,95720000000,86035000000,91561000000,96131000000,104431000000,127475000000,167224000000,254308000000,325875000000,343013000000,401430000000,400893000000,434489000000,490458000000,425612000000,404946000000,427319000000,463221000000,487852000000,500025000000,504792000000,514475000000,521389000000
ARE,United Arab Emirates,355,General government net lending/borrowing,National Currency,,,,,,,,,,,,7040000000,6365000000,-5524000000,-3758000000,8342000000,2452000000,19013000000,2754000000,4049000000,40319000000,4573000000,-4992000000,10739000000,34743000000,106045000000,164368000000,162195000000,204343000000,-57048000000,5862000000,68457000000,123888000000,120272000000,28293000000,-44236000000,-26467000000,-22906000000,8803000000,21191000000,20895000000,24623000000,28440000000,31515000000
ARE,United Arab Emirates,357,General government primary net lending/borrowing,National Currency,,,,,,,,,,,,9859000000,6866000000,-5494000000,-3757000000,8351000000,2470000000,19014000000,2758000000,4053000000,40575000000,4926000000,-4879000000,10760000000,35045000000,106290000000,164380000000,162261000000,204725000000,-55402000000,9335000000,70823000000,128207000000,126180000000,32368000000,-41445000000,-24482000000,-20981000000,12818000000,25934000000,26143000000,29981000000,33897000000,37076000000
ARE,United Arab Emirates,359,General government gross debt,National Currency,,,,,,,,,,,,,,,,,,,,14654000000,11800000000,10205000000,14497000000,20110000000,30619000000,43988000000,55808000000,74379000000,145196000000,224255000000,233593000000,224656000000,233674000000,225776000000,230065000000,245822000000,265091000000,277440000000,282955000000,293865000000,305208000000,314522000000,324346000000,334720000000
ARE,United Arab Emirates,360,Gross domestic product corresponding to fiscal year,National Currency,149832000000,165202000000,153625000000,140764000000,139543000000,136964000000,108542000000,119183000000,121139000000,139829000000,180210000000,182892000000,191654000000,196171000000,210901000000,233611000000,260607000000,279736000000,269539000000,304321000000,381549000000,379412000000,403300000000,456662000000,542885000000,663318000000,815723000000,947197000000,1158581000000,931153000000,1064244000000,1287821000000,1375684000000,1432670000000,1480521000000,1315251000000,1311248000000,1405007000000,1588769000000,1673145000000,1744792000000,1812535000000,1883020000000,1959798000000
ARE,United Arab Emirates,362,Volume of imports (% change),Percent change,13.329,9.186,-5.417,-7.335,-15.31,-4.672,-14.793,4.305,6.073,18.711,17,16.664,24.22,13.539,7.953,13.967,4.12,17.182,3.792,0.698,8.855,10.841,13.192,14.588,25.261,13.633,8.708,38.888,22.239,-13.252,0.628,9.829,9.265,11.203,12.272,0.935,4.446,-1.037,3.163,2.24,2.447,0.618,1.126,1.147
